id;lon;lat;alt;longname
Station11;6.3785167;-75.443985;1;Station11
Station12;6.2525611;-75.5695801;1;Station12
Station25;6.2633696;-75.5770035;1;Station25
Station28;6.1856666;-75.5972061;1;Station28
Station3;6.3790379;-75.4509125;1;Station3
Station31;6.0990806;-75.6386261;1;Station31
Station37;6.3306971;-75.5686722;1;Station37
Station38;6.1684971;-75.6443558;1;Station38
Station4;6.2755637;-75.5882874;1;Station4
Station40;6.4067135;-75.419487;1;Station40
Station41;6.2301841;-75.6099625;1;Station41
Station43;6.2299724;-75.5491943;1;Station43
Station44;6.1825418;-75.5506363;1;Station44
Station45;6.1744723;-75.6102753;1;Station45
Station46;6.2493334;-75.5702515;1;Station46
Station47;6.0946112;-75.6380005;1;Station47
Station48;6.1523128;-75.6274872;1;Station48
Station6;6.2089748;-75.5777664;1;Station6
Station69;6.0930777;-75.637764;1;Station69
Station74;6.2755637;-75.5882874;1;Station74
Station78;6.1555305;-75.6441727;1;Station78
Station79;6.2218938;-75.6106033;1;Station79
Station80;6.2589092;-75.5482635;1;Station80
Station81;6.4369602;-75.3303986;1;Station81
Station82;6.3453598;-75.5047531;1;Station82
Station83;6.2372341;-75.610466;1;Station83
Station84;6.1998701;-75.5609512;1;Station84
Station85;6.2778502;-75.6364288;1;Station85
Station86;6.2904806;-75.5555191;1;Station86
Station87;6.3375502;-75.5678024;1;Station87
Station88;6.1686831;-75.5819702;1;Station88
Station90;6.1433334;-75.6202774;1;Station90
Station92;6.189889;-75.610611;1;Station92
Station94;6.236361;-75.4984741;1;Station94
